timestamp,Frequency (Hz),SFU Power (dBm),SFU SNR (dB),FSW_SNR(dB),AIM Power,AIM SNR,AIM Offset,AIM Demod Lock,AIM Demod Acq Time
2016-12-22T15:44:01.540925,1550000000,-20,17,17.295143127400003,-32.56039999999998,16.471200000000007,116079.0,True,0.0
2016-12-22T15:44:10.785453,1550000000,-20,18,18.245265960699996,-32.57040816326529,17.597346938775516,116079.0,True,0.0
2016-12-22T15:44:20.070985,1550000000,-20,19,19.231018066399997,-32.64591836734693,18.67612244897958,116079.0,True,0.0
2016-12-22T15:44:29.352515,1550000000,-20,20,20.232078552300003,-32.595199999999984,19.716399999999993,116069.8,True,0.0
2016-12-22T15:44:38.777054,1570000000,-20,8,8.026187896799996,-32.11599999999996,7.909600000000001,113535.0,True,0.0
2016-12-22T15:44:47.928578,1570000000,-20,9,9.051406860299998,-32.2365306122449,8.943265306122445,113530.30612244898,True,0.0
2016-12-22T15:44:57.049100,1570000000,-20,10,10.039836883500001,-32.41320000000002,9.944400000000003,113530.4,True,0.0
2016-12-22T15:45:06.160621,1570000000,-20,11,11.013313293399996,-32.38000000000004,10.926400000000001,113530.4,True,0.0
2016-12-22T15:45:15.292143,1570000000,-20,12,12.056346893300002,-32.54102040816324,11.924489795918369,113530.30612244898,True,0.0
2016-12-22T15:45:24.460667,1570000000,-20,13,13.068435668900001,-32.592799999999976,12.937599999999996,113530.4,True,0.0
2016-12-22T15:45:33.710196,1570000000,-20,14,14.0346946716,-32.61163265306122,14.042857142857141,113530.30612244898,True,0.0
2016-12-22T15:45:43.075732,1570000000,-20,15,15.060371398900003,-32.61400000000002,14.807600000000003,113535.0,True,0.0
2016-12-22T15:45:52.349263,1570000000,-20,16,16.180469513,-32.64960000000003,15.880399999999995,113530.4,True,0.0
2016-12-22T15:46:01.606792,1570000000,-20,17,17.1873435974,-32.69306122448982,16.778571428571432,113535.0,True,0.0
2016-12-22T15:46:10.908324,1570000000,-20,18,18.2227745056,-32.69040816326532,17.636122448979602,113530.30612244898,True,0.0
2016-12-22T15:46:20.196855,1570000000,-20,19,19.237136840799998,-32.66081632653064,18.832448979591838,113535.0,True,0.0
2016-12-22T15:46:29.524389,1570000000,-20,20,20.180843353200004,-32.75857142857142,19.91142857142857,113530.30612244898,True,0.0
2016-12-22T15:46:38.910926,1590000000,-20,8,8.059646606499996,-32.196326530612254,7.992448979591841,109951.6530612245,True,0.0
2016-12-22T15:46:47.980445,1590000000,-20,9,9.032768249500002,-32.301599999999965,8.960400000000005,109794.0,True,0.0
2016-12-22T15:46:57.111967,1590000000,-20,10,10.006381988599998,-32.40163265306124,9.992857142857142,109947.0,True,0.0
2016-12-22T15:47:06.230488,1590000000,-20,11,11.043869018500004,-32.57061224489795,10.9634693877551,109942.30612244898,True,0.0
2016-12-22T15:47:15.484018,1590000000,-20,12,12.098140716499998,-32.61559999999999,11.808800000000002,109942.4,True,0.0
2016-12-22T15:47:24.797550,1590000000,-20,13,13.136455535899998,-32.645306122449,12.739795918367355,109947.0,True,0.0
2016-12-22T15:47:34.133084,1590000000,-20,14,14.0887298584,-32.705510204081655,13.77142857142857,109942.30612244898,True,0.0
2016-12-22T15:47:43.457618,1590000000,-20,15,15.056926727299995,-32.700800000000015,14.813599999999997,109942.4,True,0.0
2016-12-22T15:47:52.761150,1590000000,-20,16,16.0826301575,-32.74400000000001,15.832399999999996,109942.4,True,0.0
2016-12-22T15:48:02.067682,1590000000,-20,17,17.228965759299996,-32.751999999999995,16.718400000000003,109942.4,True,0.0
2016-12-22T15:48:11.358213,1590000000,-20,18,18.2447052001,-32.7524,17.574400000000004,109942.4,True,0.0
2016-12-22T15:48:20.661746,1590000000,-20,19,19.256572723399998,-32.78959999999997,18.797200000000004,109947.0,True,0.0
2016-12-22T15:48:29.958277,1590000000,-20,20,20.231761932400005,-32.789199999999994,20.11599999999999,109947.0,True,0.0
2016-12-22T15:48:39.314812,1610000000,-20,8,8.018798828100003,-32.296734693877525,7.932857142857145,116965.30612244898,True,0.0
2016-12-22T15:48:48.441334,1610000000,-20,9,9.023941040000004,-32.46040816326532,8.974285714285715,117122.0,True,0.0
2016-12-22T15:48:57.586858,1610000000,-20,10,10.050468444799996,-32.52239999999999,9.857599999999998,117122.0,True,0.0
2016-12-22T15:49:06.688378,1610000000,-20,11,10.9797935486,-32.586938775510184,10.924081632653058,117122.0,True,0.0
2016-12-22T15:49:15.824901,1610000000,-20,12,12.077362060600002,-32.72816326530614,11.841632653061213,117122.0,True,0.0
2016-12-22T15:49:25.106432,1610000000,-20,13,13.075096130399999,-32.75836734693877,12.8434693877551,116965.30612244898,True,0.0
2016-12-22T15:49:34.390963,1610000000,-20,14,14.1048851014,-32.782040816326514,14.022040816326536,117122.0,True,0.0
2016-12-22T15:49:43.693495,1610000000,-20,15,15.076637268000006,-32.80959999999999,15.0112,117117.44,True,0.0
2016-12-22T15:49:52.965025,1610000000,-20,16,16.083442687999998,-32.84959999999997,15.924000000000005,117117.44,True,0.0
2016-12-22T15:50:02.272557,1610000000,-20,17,17.160675048899996,-32.83279999999997,16.7668,117122.0,True,0.0
2016-12-22T15:50:11.578090,1610000000,-20,18,18.191860198999997,-32.8492,17.947200000000006,117122.0,True,0.0
2016-12-22T15:50:20.862621,1610000000,-20,19,19.198875427199994,-32.9072,18.517600000000005,117122.0,True,0.0
2016-12-22T15:50:30.146152,1610000000,-20,20,20.198890686,-32.876122448979615,19.87367346938776,117112.69387755102,True,0.0
2016-12-22T15:50:39.509687,1630000000,-20,8,8.060062408500002,-32.10734693877552,7.961020408163268,113535.0,True,0.0
2016-12-22T15:50:48.511202,1630000000,-20,9,9.047309875499998,-32.237142857142864,8.932653061224492,113530.30612244898,True,0.0
2016-12-22T15:50:57.644724,1630000000,-20,10,10.074668884300003,-32.29836734693875,9.961224489795923,113535.0,True,0.0
2016-12-22T15:51:06.815249,1630000000,-20,11,11.035526275599999,-32.37918367346938,10.800204081632657,113530.30612244898,True,0.0
