timestamp,Frequency (Hz),SFU Power (dBm),SFU SNR (dB),FSW_SNR(dB)
2016-12-22T15:20:39.448730,1330000000,-20,9,9.0613594055
2016-12-22T15:20:48.593253,1330000000,-20,10,10.082839965799998
2016-12-22T15:20:57.758777,1330000000,-20,11,11.062835693300002
2016-12-22T15:21:06.883299,1330000000,-20,12,12.1033096313
2016-12-22T15:21:16.067824,1330000000,-20,13,13.112964630199997
2016-12-22T15:21:25.366356,1330000000,-20,14,14.089916229300002
2016-12-22T15:21:34.652887,1330000000,-20,15,15.121879577600005
2016-12-22T15:21:43.912417,1330000000,-20,16,16.245231628400006
2016-12-22T15:21:53.215949,1330000000,-20,17,17.2230033875
2016-12-22T15:22:02.555483,1330000000,-20,18,18.250358581499995
2016-12-22T15:22:11.816013,1330000000,-20,19,19.232967376699996
2016-12-22T15:22:21.085543,1330000000,-20,20,20.231224060099997
2016-12-22T15:22:30.769097,1350000000,-20,8,8.063877105700001
2016-12-22T15:22:39.933621,1350000000,-20,9,9.101642608600002
2016-12-22T15:22:49.059143,1350000000,-20,10,10.083957672099999
2016-12-22T15:22:58.488682,1350000000,-20,11,11.0957450867
2016-12-22T15:23:07.758212,1350000000,-20,12,12.112899780199996
2016-12-22T15:23:17.330760,1350000000,-20,13,13.082946777299995
2016-12-22T15:23:26.664294,1350000000,-20,14,14.1180763244
2016-12-22T15:23:35.906822,1350000000,-20,15,15.151550293
2016-12-22T15:23:45.221355,1350000000,-20,16,16.228107452400003
2016-12-22T15:23:54.541888,1350000000,-20,17,17.2102813721
2016-12-22T15:24:03.822419,1350000000,-20,18,18.2325134277
2016-12-22T15:24:13.124951,1350000000,-20,19,19.228050232
2016-12-22T15:24:22.394481,1350000000,-20,20,20.2196998596
2016-12-22T15:24:31.722015,1370000000,-20,8,8.028602600100001
2016-12-22T15:24:40.796534,1370000000,-20,9,9.050903320300002
2016-12-22T15:24:49.941057,1370000000,-20,10,10.067966461200001
2016-12-22T15:24:59.045578,1370000000,-20,11,11.080177307100001
2016-12-22T15:25:08.671128,1370000000,-20,12,12.0718269348
2016-12-22T15:25:17.810651,1370000000,-20,13,13.105121612600001
2016-12-22T15:25:27.072181,1370000000,-20,14,14.120189666800002
2016-12-22T15:25:36.749734,1370000000,-20,15,15.114200592100005
2016-12-22T15:25:46.050266,1370000000,-20,16,16.2399253846
2016-12-22T15:25:55.318796,1370000000,-20,17,17.1918067932
2016-12-22T15:26:04.600327,1370000000,-20,18,18.263610839800002
2016-12-22T15:26:13.869857,1370000000,-20,19,19.2616271973
2016-12-22T15:26:23.183390,1370000000,-20,20,20.277614593500005
2016-12-22T15:26:32.585928,1390000000,-20,8,8.060573577900001
2016-12-22T15:26:41.773453,1390000000,-20,9,9.077270507800002
2016-12-22T15:26:50.899975,1390000000,-20,10,10.056274414100002
2016-12-22T15:27:00.075500,1390000000,-20,11,11.0708465576
2016-12-22T15:27:09.375032,1390000000,-20,12,12.063468933099998
2016-12-22T15:27:18.622561,1390000000,-20,13,13.079765319899998
2016-12-22T15:27:27.904092,1390000000,-20,14,14.113498687700002
2016-12-22T15:27:37.207624,1390000000,-20,15,15.105632782
2016-12-22T15:27:46.494155,1390000000,-20,16,16.223400116
2016-12-22T15:27:55.788687,1390000000,-20,17,17.2321624756
2016-12-22T15:28:05.110220,1390000000,-20,18,18.252941131600004
2016-12-22T15:28:14.527759,1390000000,-20,19,19.2387428284
2016-12-22T15:28:23.839291,1390000000,-20,20,20.251667022700005
2016-12-22T15:28:33.318833,1410000000,-20,8,8.0560073853
2016-12-22T15:28:42.485358,1410000000,-20,9,9.040813446099996
2016-12-22T15:28:51.638881,1410000000,-20,10,10.055648803700002
2016-12-22T15:29:00.742402,1410000000,-20,11,11.042137146000002
2016-12-22T15:29:09.873924,1410000000,-20,12,12.0479888916
2016-12-22T15:29:19.188457,1410000000,-20,13,13.051471710199998
2016-12-22T15:29:28.440986,1410000000,-20,14,14.0792922973
2016-12-22T15:29:37.757519,1410000000,-20,15,15.102798462000003
2016-12-22T15:29:47.133055,1410000000,-20,16,16.1949920654
2016-12-22T15:29:56.447588,1410000000,-20,17,17.268657684400004
2016-12-22T15:30:05.787122,1410000000,-20,18,18.1979598999
2016-12-22T15:30:15.072653,1410000000,-20,19,19.244663238599998
2016-12-22T15:30:24.604199,1410000000,-20,20,20.242778778100003
2016-12-22T15:30:33.989735,1430000000,-20,8,8.034255981400001
2016-12-22T15:30:43.115257,1430000000,-20,9,9.051334381100006
2016-12-22T15:30:52.692805,1430000000,-20,10,10.003417968699999
2016-12-22T15:31:02.000338,1430000000,-20,11,11.079429626499994
2016-12-22T15:31:11.368873,1430000000,-20,12,12.084415435799997
2016-12-22T15:31:20.649404,1430000000,-20,13,13.118717193599998
2016-12-22T15:31:30.020940,1430000000,-20,14,14.1133270264
2016-12-22T15:31:39.351474,1430000000,-20,15,15.0895843506
2016-12-22T15:31:48.651006,1430000000,-20,16,16.2319107055
2016-12-22T15:31:57.942537,1430000000,-20,17,17.227111816399997
2016-12-22T15:32:07.275071,1430000000,-20,18,18.279178619300005
2016-12-22T15:32:16.640607,1430000000,-20,19,19.255176544199998
2016-12-22T15:32:25.994142,1430000000,-20,20,20.229148864799996
2016-12-22T15:32:35.342676,1450000000,-20,8,8.036815643399997
2016-12-22T15:32:44.428196,1450000000,-20,9,9.029029846199997
2016-12-22T15:32:53.510716,1450000000,-20,10,10.028308868400003
2016-12-22T15:33:02.641238,1450000000,-20,11,11.043788909900002
2016-12-22T15:33:11.760759,1450000000,-20,12,12.070907592799998
2016-12-22T15:33:21.042290,1450000000,-20,13,13.0975608826
2016-12-22T15:33:30.473830,1450000000,-20,14,14.120731353799997
2016-12-22T15:33:39.779362,1450000000,-20,15,15.134563446000001
2016-12-22T15:33:49.271905,1450000000,-20,16,16.2942695618
2016-12-22T15:33:58.545435,1450000000,-20,17,17.257820129399995
2016-12-22T15:34:07.883969,1450000000,-20,18,18.2651786804
2016-12-22T15:34:17.180501,1450000000,-20,19,19.268173217799998
2016-12-22T15:34:26.450031,1450000000,-20,20,20.280422210700003
2016-12-22T15:34:35.866570,1470000000,-20,8,8.050514221199997
2016-12-22T15:34:45.049095,1470000000,-20,9,9.065147399899999
2016-12-22T15:34:54.149616,1470000000,-20,10,10.022891998299997
2016-12-22T15:35:03.236135,1470000000,-20,11,11.0900955201
2016-12-22T15:35:12.338656,1470000000,-20,12,12.0952415466
2016-12-22T15:35:21.619187,1470000000,-20,13,13.127658844000003
2016-12-22T15:35:30.963721,1470000000,-20,14,14.131530761699999
2016-12-22T15:35:40.568271,1470000000,-20,15,15.122184753500001
2016-12-22T15:35:49.854802,1470000000,-20,16,16.227836608900006
2016-12-22T15:35:59.182335,1470000000,-20,17,17.259334564199996
2016-12-22T15:36:08.653877,1470000000,-20,18,18.2360000611
2016-12-22T15:36:17.938408,1470000000,-20,19,19.2568778992
2016-12-22T15:36:27.495955,1470000000,-20,20,20.229385376000003
2016-12-22T15:36:36.919494,1490000000,-20,8,8.061946868900002
2016-12-22T15:36:46.015014,1490000000,-20,9,9.0290870667
2016-12-22T15:36:55.128535,1490000000,-20,10,10.027336120600005
2016-12-22T15:37:04.260058,1490000000,-20,11,11.089332580599994
2016-12-22T15:37:13.443583,1490000000,-20,12,12.099014282200002
2016-12-22T15:37:22.575105,1490000000,-20,13,13.097877502400003
2016-12-22T15:37:31.874637,1490000000,-20,14,14.091381073
2016-12-22T15:37:41.129166,1490000000,-20,15,15.103858947699997
2016-12-22T15:37:50.418698,1490000000,-20,16,16.2266349793
2016-12-22T15:37:59.692228,1490000000,-20,17,17.2568092346
2016-12-22T15:38:09.023762,1490000000,-20,18,18.2258415222
2016-12-22T15:38:18.447301,1490000000,-20,19,19.214527130099995
2016-12-22T15:38:27.822837,1490000000,-20,20,20.236000061
2016-12-22T15:38:37.217374,1510000000,-20,8,8.059654235899998
2016-12-22T15:38:46.522907,1510000000,-20,9,9.030956268299995
2016-12-22T15:38:55.723433,1510000000,-20,10,10.031803131099998
2016-12-22T15:39:05.319982,1510000000,-20,11,11.082065582299997
2016-12-22T15:39:14.587512,1510000000,-20,12,12.1084251403
2016-12-22T15:39:23.684032,1510000000,-20,13,13.1120262146
2016-12-22T15:39:32.985564,1510000000,-20,14,14.120571136499997
2016-12-22T15:39:42.304097,1510000000,-20,15,15.084014892599996
2016-12-22T15:39:51.581628,1510000000,-20,16,16.232902526800004
2016-12-22T15:40:00.854158,1510000000,-20,17,17.197929382399998
2016-12-22T15:40:10.156690,1510000000,-20,18,18.2195358277
2016-12-22T15:40:19.487224,1510000000,-20,19,19.239009857199996
2016-12-22T15:40:28.839759,1510000000,-20,20,20.2272377014
2016-12-22T15:40:38.173293,1530000000,-20,8,8.083377838100006
2016-12-22T15:40:47.330817,1530000000,-20,9,9.0301132202
2016-12-22T15:40:56.644349,1530000000,-20,10,10.051647186300002
2016-12-22T15:41:05.740870,1530000000,-20,11,11.065856933599996
2016-12-22T15:41:14.828389,1530000000,-20,12,12.090862274100004
2016-12-22T15:41:24.120921,1530000000,-20,13,13.070762634300003
2016-12-22T15:41:33.375450,1530000000,-20,14,14.1036758423
2016-12-22T15:41:42.661981,1530000000,-20,15,15.067596435600002
2016-12-22T15:41:51.991515,1530000000,-20,16,16.1818695068
2016-12-22T15:42:01.289047,1530000000,-20,17,17.190597534200002
2016-12-22T15:42:10.560577,1530000000,-20,18,18.2141761779
2016-12-22T15:42:19.865109,1530000000,-20,19,19.202640533500002
2016-12-22T15:42:29.175642,1530000000,-20,20,20.253124237100003
2016-12-22T15:42:38.593180,1550000000,-20,8,8.071735382100002
2016-12-22T15:42:47.715702,1550000000,-20,9,9.012641906699997
2016-12-22T15:42:56.850225,1550000000,-20,10,10.062107086200001
2016-12-22T15:43:05.964746,1550000000,-20,11,11.081104278600002
2016-12-22T15:43:15.049266,1550000000,-20,12,12.078449249299993
2016-12-22T15:43:24.285794,1550000000,-20,13,13.066864013599996
2016-12-22T15:43:33.599327,1550000000,-20,14,14.075305938699998
2016-12-22T15:43:42.884858,1550000000,-20,15,15.087039947500003
2016-12-22T15:43:52.220392,1550000000,-20,16,16.2632751465
2016-12-22T15:44:01.540925,1550000000,-20,17,17.295143127400003
2016-12-22T15:44:10.785453,1550000000,-20,18,18.245265960699996
2016-12-22T15:44:20.070985,1550000000,-20,19,19.231018066399997
2016-12-22T15:44:29.352515,1550000000,-20,20,20.232078552300003
2016-12-22T15:44:38.777054,1570000000,-20,8,8.026187896799996
2016-12-22T15:44:47.928578,1570000000,-20,9,9.051406860299998
2016-12-22T15:44:57.049100,1570000000,-20,10,10.039836883500001
2016-12-22T15:45:06.160621,1570000000,-20,11,11.013313293399996
2016-12-22T15:45:15.292143,1570000000,-20,12,12.056346893300002
2016-12-22T15:45:24.460667,1570000000,-20,13,13.068435668900001
2016-12-22T15:45:33.710196,1570000000,-20,14,14.0346946716
2016-12-22T15:45:43.075732,1570000000,-20,15,15.060371398900003
2016-12-22T15:45:52.349263,1570000000,-20,16,16.180469513
2016-12-22T15:46:01.606792,1570000000,-20,17,17.1873435974
2016-12-22T15:46:10.908324,1570000000,-20,18,18.2227745056
2016-12-22T15:46:20.196855,1570000000,-20,19,19.237136840799998
2016-12-22T15:46:29.524389,1570000000,-20,20,20.180843353200004
2016-12-22T15:46:38.910926,1590000000,-20,8,8.059646606499996
2016-12-22T15:46:47.980445,1590000000,-20,9,9.032768249500002
2016-12-22T15:46:57.111967,1590000000,-20,10,10.006381988599998
2016-12-22T15:47:06.230488,1590000000,-20,11,11.043869018500004
2016-12-22T15:47:15.484018,1590000000,-20,12,12.098140716499998
2016-12-22T15:47:24.797550,1590000000,-20,13,13.136455535899998
2016-12-22T15:47:34.133084,1590000000,-20,14,14.0887298584
2016-12-22T15:47:43.457618,1590000000,-20,15,15.056926727299995
2016-12-22T15:47:52.761150,1590000000,-20,16,16.0826301575
2016-12-22T15:48:02.067682,1590000000,-20,17,17.228965759299996
2016-12-22T15:48:11.358213,1590000000,-20,18,18.2447052001
2016-12-22T15:48:20.661746,1590000000,-20,19,19.256572723399998
2016-12-22T15:48:29.958277,1590000000,-20,20,20.231761932400005
2016-12-22T15:48:39.314812,1610000000,-20,8,8.018798828100003
2016-12-22T15:48:48.441334,1610000000,-20,9,9.023941040000004
2016-12-22T15:48:57.586858,1610000000,-20,10,10.050468444799996
2016-12-22T15:49:06.688378,1610000000,-20,11,10.9797935486
2016-12-22T15:49:15.824901,1610000000,-20,12,12.077362060600002
2016-12-22T15:49:25.106432,1610000000,-20,13,13.075096130399999
2016-12-22T15:49:34.390963,1610000000,-20,14,14.1048851014
2016-12-22T15:49:43.693495,1610000000,-20,15,15.076637268000006
2016-12-22T15:49:52.965025,1610000000,-20,16,16.083442687999998
2016-12-22T15:50:02.272557,1610000000,-20,17,17.160675048899996
2016-12-22T15:50:11.578090,1610000000,-20,18,18.191860198999997
2016-12-22T15:50:20.862621,1610000000,-20,19,19.198875427199994
2016-12-22T15:50:30.146152,1610000000,-20,20,20.198890686
2016-12-22T15:50:39.509687,1630000000,-20,8,8.060062408500002
2016-12-22T15:50:48.511202,1630000000,-20,9,9.047309875499998
2016-12-22T15:50:57.644724,1630000000,-20,10,10.074668884300003
2016-12-22T15:51:06.815249,1630000000,-20,11,11.035526275599999
2016-12-22T15:51:15.948771,1630000000,-20,12,12.054622650200002
2016-12-22T15:51:25.285305,1630000000,-20,13,13.1152763367
2016-12-22T15:51:34.597838,1630000000,-20,14,14.062889099099998
2016-12-22T15:51:43.881369,1630000000,-20,15,15.113162994299998
2016-12-22T15:51:53.204902,1630000000,-20,16,16.0909767151
2016-12-22T15:52:02.517435,1630000000,-20,17,17.179443359299995
2016-12-22T15:52:11.774964,1630000000,-20,18,18.183605194100004
2016-12-22T15:52:21.099498,1630000000,-20,19,19.212524414
2016-12-22T15:52:30.406030,1630000000,-20,20,20.218151092599996
2016-12-22T15:52:39.776566,1650000000,-20,8,8.0362968445
2016-12-22T15:52:48.973092,1650000000,-20,9,9.0325698853
2016-12-22T15:52:58.035610,1650000000,-20,10,10.016780853299998
2016-12-22T15:53:07.177133,1650000000,-20,11,11.0382957458
2016-12-22T15:53:16.304655,1650000000,-20,12,12.065742492600002
2016-12-22T15:53:25.618188,1650000000,-20,13,13.1009597778
2016-12-22T15:53:34.790713,1650000000,-20,14,14.083072662299998
2016-12-22T15:53:44.124247,1650000000,-20,15,15.078071594200004
2016-12-22T15:53:53.395777,1650000000,-20,16,16.081851959299996
2016-12-22T15:54:02.737311,1650000000,-20,17,17.199298858600002
2016-12-22T15:54:12.025842,1650000000,-20,18,18.203163147000005
