Frequency (Hz),Insertion Loss (dB)
353150762.5,-16.1613363847486
356275725,-16.1694765411168
359400687.5,-16.1986513605519
362525650,-16.1991292760483
365650612.5,-16.2098187268604
368775575,-16.2183837183912
371900537.5,-16.1728269781091
375025500,-16.2264326128946
378150462.5,-16.2324374245744
381275425,-16.2862657969956
384400387.5,-16.2891153923747
387525350,-16.2405020015601
390650312.5,-16.2708808841363
393775275,-16.2447855976584
396900237.5,-16.3015476065141
400025200,-16.2812373171523
403150162.5,-16.2984905884448
406275125,-16.3186201367232
409400087.5,-16.3815212213045
412525050,-16.3469134987498
415650012.5,-16.3326572447429
418774975,-16.3677928323338
421899937.5,-16.3083905354302
425024900,-16.2947352491759
428149862.5,-16.3471511565538
431274825,-16.3794171138632
434399787.5,-16.3607815707974
437524750,-16.3529294172028
440649712.5,-16.4195850288075
443774675,-16.4710257085514
446899637.5,-16.5068196626917
450024600,-16.5029979410209
453149562.5,-16.4678037494594
456274525,-16.4424775654456
459399487.5,-16.4577792520771
462524450,-16.4229154313535
465649412.5,-16.4619152535948
468774375,-16.5058195832327
471899337.5,-16.493704835062
475024300,-16.4635225873939
478149262.5,-16.4293704860006
481274225,-16.4868894786196
484399187.5,-16.5593675235093
487524150,-16.5327472947625
490649112.5,-16.5263213378946
493774075,-16.5537958461216
496899037.5,-16.5335174118186
500024000,-16.4796217895263
503148962.5,-16.5255491648241
506273925,-16.5226345583121
509398887.5,-16.5681702078391
512523850,-16.5843240252887
515648812.5,-16.5828308019148
518773775,-16.5914149950064
521898737.5,-16.6880041820906
525023700,-16.6281864867989
528148662.5,-16.5581538510903
531273625,-16.583420102909
534398587.5,-16.6205086917153
537523550,-16.5861635439242
540648512.5,-16.568739384481
543773475,-16.6155568206352
546898437.5,-16.6382405998664
550023400,-16.6479625060724
553148362.5,-16.7035005080256
556273325,-16.7424451512027
559398287.5,-16.786871396944
562523250,-16.7054615892535
565648212.5,-16.6416479052671
568773175,-16.69569725536
571898137.5,-16.6675409477678
575023100,-16.7094622835958
578148062.5,-16.6882294529461
581273025,-16.7509990652857
584397987.5,-16.7238619170838
587522950,-16.7484664935003
590647912.5,-16.7642364926002
593772875,-16.7293243086449
596897837.5,-16.8278025796419
600022800,-16.7643182236226
603147762.5,-16.7586219248855
606272725,-16.7263126888085
609397687.5,-16.7444219973086
612522650,-16.7972822349654
615647612.5,-16.7770245433504
618772575,-16.890388597883
621897537.5,-16.8544439236547
625022500,-16.8868341280389
628147462.5,-16.8810741272553
631272425,-16.835939906146
634397387.5,-16.829115134665
637522350,-16.8142731066412
640647312.5,-16.8119108327846
643772275,-16.8213312552072
646897237.5,-16.7897712933108
650022200,-16.8108522997801
653147162.5,-16.826652059454
656272125,-16.8340044678949
659397087.5,-17.0154100947909
662522050,-16.9855972075896
665647012.5,-17.0079077265479
668771975,-16.93449018845
671896937.5,-16.8549808707549
675021900,-16.8740887367131
678146862.5,-16.9266705260428
681271825,-16.9252964280524
684396787.5,-16.8807213918999
687521750,-16.9223697698523
690646712.5,-16.9296769519079
693771675,-16.9538227645666
696896637.5,-17.0198762337417
700021600,-16.9996109321674
703146562.5,-17.009179115446
706271525,-16.9437411715198
709396487.5,-16.9647400675681
712521450,-16.9609417972293
715646412.5,-16.9827711178194
718771375,-16.9116427266941
721896337.5,-16.9546530237541
725021300,-17.0549897189298
728146262.5,-17.0130349396933
731271225,-17.1235056873669
734396187.5,-17.0820181826252
737521150,-17.0478373519197
740646112.5,-17.0796051954043
743771075,-16.9673311877651
746896037.5,-17.0201214923367
750021000,-17.0047507212483
753145962.5,-17.0187040176943
756270925,-17.0341189396026
759395887.5,-17.0305683094559
762520850,-17.0967118117687
765645812.5,-17.1098802717408
768770775,-17.1433472644713
771895737.5,-17.1509760529765
775020700,-17.0685685365303
778145662.5,-17.1015224444497
781270625,-17.1029765916862
784395587.5,-17.0581332787815
787520550,-17.0502993526398
790645512.5,-17.1201406084301
793770475,-17.1466212490341
796895437.5,-17.256182781034
800020400,-17.1848519191853
803145362.5,-17.227409742895
806270325,-17.1715845101711
809395287.5,-17.1066509884485
812520250,-17.2170126768349
815645212.5,-17.0346344610033
818770175,-17.0772902938792
821895137.5,-17.1302006312657
825020100,-17.1521892274871
828145062.5,-17.2204575841141
831270025,-17.2745055117913
834394987.5,-17.2657107454794
837519950,-17.2732250297336
840644912.5,-17.2697759560927
843769875,-17.2211289073205
846894837.5,-17.1574698876057
850019800,-17.2128681183349
853144762.5,-17.1867814667787
856269725,-17.2141114067758
859394687.5,-17.1925470222705
862519650,-17.1891742247681
865644612.5,-17.2687779587444
868769575,-17.3052347887159
871894537.5,-17.2840757362305
875019500,-17.2140859743444
878144462.5,-17.2306727468877
881269425,-17.2095882637713
884394387.5,-17.2507006754555
