Frequency (Hz),Insertion Loss (dB)
225027300,-1.68165450241307
228152262.5,-1.71923351889908
231277225,-1.7220247284646
234402187.5,-1.7186071881098
237527150,-1.72792294393886
240652112.5,-1.7194252380687
243777075,-1.72465266359002
246902037.5,-1.7202583172494
250027000,-1.72062451330056
253151962.5,-1.72629625814358
256276925,-1.73700993219716
259401887.5,-1.74285213369576
262526850,-1.75926398393039
265651812.5,-1.75653134836713
268776775,-1.78216079547879
271901737.5,-1.79287526416763
275026700,-1.78630884947393
278151662.5,-1.7987370555838
281276625,-1.80598839802347
284401587.5,-1.82576494649673
287526550,-1.80919770449138
290651512.5,-1.8196817422928
293776475,-1.80668041283598
296901437.5,-1.82106062956166
300026400,-1.81238847999932
303151362.5,-1.82328937629017
306276325,-1.82680805116916
309401287.5,-1.82739498042268
312526250,-1.82994023952413
315651212.5,-1.84395475595179
318776175,-1.83419434611519
321901137.5,-1.85031467290297
325026100,-1.85470724463821
328151062.5,-1.85457719921542
331276025,-1.87993575198103
334400987.5,-1.89068349109756
337525950,-1.89669500155047
340650912.5,-1.90605355332056
343775875,-1.89209045561329
346900837.5,-1.8995887752063
350025800,-1.90792699601947
353150762.5,-1.91012660124104
356275725,-1.90978767061634
359400687.5,-1.90230894207659
362525650,-1.90517082777563
365650612.5,-1.90306940492482
368775575,-1.91137281348594
371900537.5,-1.91806099511145
375025500,-1.93086801999651
378150462.5,-1.93476971716184
381275425,-1.94457079567344
384400387.5,-1.9466375891426
387525350,-1.95310965739665
390650312.5,-1.97054052409877
393775275,-1.96501672386553
396900237.5,-1.98025865811496
400025200,-1.98990586642869
403150162.5,-1.98161657286316
406275125,-1.98480764052181
409400087.5,-1.97308674602248
412525050,-1.97534152543409
415650012.5,-1.97458673758785
418774975,-1.97694710169157
421899937.5,-1.99621269926878
425024900,-1.99155825341259
428149862.5,-1.97565453370026
431274825,-2.00670237328743
434399787.5,-2.02273473726775
437524750,-2.01200410681439
440649712.5,-2.04629745420674
443774675,-2.04542550156502
446899637.5,-2.04908076905713
450024600,-2.05583802240163
453149562.5,-2.06509408134642
456274525,-2.07527309408106
459399487.5,-2.09397657157487
462524450,-2.07869694265936
465649412.5,-2.06891494521764
468774375,-2.06482774768562
471899337.5,-2.06680867977339
475024300,-2.05748124503112
478149262.5,-2.06292400703362
481274225,-2.08032255225632
484399187.5,-2.08439111024048
487524150,-2.08831739524161
490649112.5,-2.09358534064236
493774075,-2.10753934106904
496899037.5,-2.1105603027306
500024000,-2.10865723994087
503148962.5,-2.1203984234375
506273925,-2.12564071905423
509398887.5,-2.13686681826113
512523850,-2.15083306755065
515648812.5,-2.13985735860809
518773775,-2.14254280320601
521898737.5,-2.14395158841003
525023700,-2.13163412065959
528148662.5,-2.12561659756713
531273625,-2.12403726340032
534398587.5,-2.15606177106236
537523550,-2.14763527687718
540648512.5,-2.15063385230094
543773475,-2.1592651284579
546898437.5,-2.16980933504291
550023400,-2.18627140103304
553148362.5,-2.18866340621103
556273325,-2.17907948302138
559398287.5,-2.2201661416473
562523250,-2.21948807470221
565648212.5,-2.20979568214638
568773175,-2.21395033526001
571898137.5,-2.21226583059901
575023100,-2.19968117857189
578148062.5,-2.20237775656514
581273025,-2.20493790782854
584397987.5,-2.21078026814079
587522950,-2.21854399901862
590647912.5,-2.21864108108706
593772875,-2.21091423858911
596897837.5,-2.23013883399274
600022800,-2.23105147375477
603147762.5,-2.24464570515748
606272725,-2.24514408184358
609397687.5,-2.25353929618387
612522650,-2.26651802045599
615647612.5,-2.2762412862629
618772575,-2.28839072876964
621897537.5,-2.26319355933713
625022500,-2.27652559215304
628147462.5,-2.2690411597266
631272425,-2.28025551481405
634397387.5,-2.29542676297804
637522350,-2.2906569512253
640647312.5,-2.28476139715197
643772275,-2.28314626262489
646897237.5,-2.28107228409954
650022200,-2.29689097465943
653147162.5,-2.31532327364606
