Frequency (Hz),Insertion Loss (dB)
156278125,-11.156668479077
157528110,-11.1905746791567
158778095,-11.2401144455108
160028080,-11.2039350484736
161278065,-11.1951873693192
162528050,-11.1196877956784
163778035,-11.0450225875358
165028020,-11.0113647588876
166278005,-10.8779009726166
167527990,-10.8236010784133
168777975,-10.8093275838046
170027960,-10.7456771309881
171277945,-10.6851088900756
172527930,-10.6810528713706
173777915,-10.6558588178104
175027900,-10.6608895538757
176277885,-10.6873266249179
177527870,-10.7513665444804
178777855,-10.7872300658431
180027840,-10.802045282358
181277825,-10.853798918278
182527810,-10.819841891777
183777795,-10.8229490283562
185027780,-10.7795702193791
186277765,-10.7291189596893
187527750,-10.6685287547387
188777735,-10.5463240381774
190027720,-10.4581499269218
191277705,-10.3030642696312
192527690,-10.1807694451603
193777675,-9.98158476628547
195027660,-9.84109233474656
196277645,-9.68815116569072
197527630,-9.51902712477956
198777615,-9.37900379515981
200027600,-9.2052786675644
201277585,-9.07443182948478
202527570,-8.9500122561761
203777555,-8.85320542678132
205027540,-8.75075878722218
206277525,-8.67091283800791
207527510,-8.61290543456022
208777495,-8.59328465355235
210027480,-8.61016657626599
211277465,-8.56751025075787
212527450,-8.63449378787428
213777435,-8.66475063748902
215027420,-8.77035675567482
216277405,-8.8905723740266
217527390,-8.97690195415615
218777375,-9.14296426396348
220027360,-9.29576502407413
221277345,-9.47209949040619
222527330,-9.64868822987535
223777315,-9.83158884111087
225027300,-9.97064895629542
226277285,-10.1980928251995
227527270,-10.3515360703057
228777255,-10.5003208434449
230027240,-10.6741647579699
231277225,-10.847671819456
232527210,-11.0069581067641
233777195,-11.1358077919164
235027180,-11.2844450223969
236277165,-11.4106535340807
237527150,-11.4654864378209
238777135,-11.5611538289951
240027120,-11.5742854365325
241277105,-11.5974562268149
242527090,-11.5563104911746
243777075,-11.5081133707699
245027060,-11.4545144324783
246277045,-11.3486717836443
247527030,-11.223265139624
248777015,-11.1315517880637
250027000,-10.9899665984206
251276985,-10.842344766021
252526970,-10.7151915876581
253776955,-10.5945558819686
255026940,-10.4263593563295
256276925,-10.2797243003495
257526910,-10.1426439247833
258776895,-10.0277974942061
260026880,-9.9118783927387
261276865,-9.81542717362946
262526850,-9.69154984288347
263776835,-9.54484631845818
265026820,-9.42423590234164
266276805,-9.34286714097438
267526790,-9.23348955874032
268776775,-9.14890736252411
270026760,-9.05455580121703
271276745,-8.94417112201612
272526730,-8.89626945410023
273776715,-8.84601638395902
275026700,-8.80834206457237
276276685,-8.78265840066511
277526670,-8.77773421379932
278776655,-8.77712574108667
280026640,-8.80873626286931
281276625,-8.85921610992925
282526610,-8.90616606804526
283776595,-9.00571129028336
285026580,-9.09718100320087
286276565,-9.16158424213631
287526550,-9.29724283464265
288776535,-9.39564548535968
290026520,-9.52384723658567
291276505,-9.63300360467399
292526490,-9.7383761791281
293776475,-9.8557527919615
295026460,-9.9588824636285
296276445,-10.0323653165721
297526430,-10.1203448825724
298776415,-10.1934065410066
300026400,-10.2446232619481
301276385,-10.29273638148
302526370,-10.3216119427179
303776355,-10.3514454032465
305026340,-10.3801696728074
306276325,-10.3985160548578
307526310,-10.4492898303755
308776295,-10.4345357568945
310026280,-10.4804761889744
311276265,-10.4704132892393
312526250,-10.5232512260484
313776235,-10.580906749946
