,timestamp,Desired Frequency (Hz),Measured Power (dB),adjusted value (dB),SLG output Power,SLG new Power
18,2017-02-10T15:30:18.898280,1873000000.0,-51.269241333000004,16.258541254999997,-24.9,-41.158541254999996
19,2017-02-10T15:30:20.406366,1924000000.0,-50.818195343,16.865843808,-25.7,-42.565843808
20,2017-02-10T15:30:21.904452,1975000000.0,-51.893634796099995,16.158196176900006,-32.2,-48.35819617690001
21,2017-02-10T15:30:23.408538,2026000000.0,-51.2538223267,16.423056515299997,-25.3,-41.7230565153
22,2017-02-10T15:30:24.891623,2077000000.0,-56.7743682861,2.0900946159,-26.1,-28.1900946159
23,2017-02-10T15:30:26.428711,994000000.0,-52.570739746099996,0.13804414190000358,-32.4,-32.5380441419
24,2017-02-10T15:30:27.932797,1045000000.0,-53.9732513428,-1.084315745799998,-25.5,-24.415684254200002
25,2017-02-10T15:30:29.435883,1096000000.0,-54.8908081055,-1.6921625844999966,-25.8,-24.107837415500004
26,2017-02-10T15:30:30.918968,1147000000.0,-54.4822158813,-1.1558288643000054,-31.9,-30.744171135699993
27,2017-02-10T15:30:32.429054,1198000000.0,-55.174331665,-1.5998165809999918,-25.2,-23.600183419000007
28,2017-02-10T15:30:33.926140,1249000000.0,-55.8821144104,-2.1900992393999985,-25.6,-23.409900760600003
29,2017-02-10T15:30:35.434226,1300000000.0,-56.139961242700004,-2.320716286700005,-31.7,-29.379283713299994
30,2017-02-10T15:30:36.918311,1351000000.0,-56.6967048645,-2.4737904475000008,-25.0,-22.5262095525
31,2017-02-10T15:30:38.431397,1402000000.0,-56.335224151599995,-1.920602148599997,-26.0,-24.079397851400003
32,2017-02-10T15:30:39.944484,1453000000.0,-55.963500976599995,-1.287246936599999,-32.5,-31.2127530634
33,2017-02-10T15:30:41.455570,1504000000.0,-56.5647544861,-2.018781208100002,-25.7,-23.681218791899997
34,2017-02-10T15:30:42.934655,1555000000.0,-56.826023101800004,-2.1123908878000037,-26.6,-24.487609112199998
35,2017-02-10T15:30:44.451742,1606000000.0,-56.5553894043,-1.5548189133000037,-32.5,-30.945181086699996
36,2017-02-10T15:30:45.953827,1657000000.0,-57.184032440200006,-1.863770301200006,-25.7,-23.836229698799993
37,2017-02-10T15:30:47.458914,1708000000.0,-57.8053092957,-2.0003805117000013,-25.9,-23.899619488299997
38,2017-02-10T15:30:48.945999,1759000000.0,-58.022270202600005,-2.0467525506000044,-32.0,-29.953247449399996
39,2017-02-10T15:30:50.460085,1810000000.0,-58.0222358704,-1.7876487964000063,-25.3,-23.512351203599994
40,2017-02-10T15:30:51.951170,1862000000.0,-57.9368438721,-1.5751976500999945,-26.2,-24.624802349900005
41,2017-02-10T15:30:53.462257,1913000000.0,-57.4971084595,-1.0585270484999967,-32.5,-31.441472951500003
42,2017-02-10T15:30:54.953342,1964000000.0,-58.7333335876,-2.0043282886,-25.7,-23.6956717114
43,2017-02-10T15:30:56.462429,2015000000.0,-58.5780563354,-2.076270361399999,-25.2,-23.1237296386
44,2017-02-10T15:30:57.973515,2066000000.0,-58.1587562561,-1.210125661099994,-32.9,-31.689874338900005
45,2017-02-10T15:31:00.971686,2117000000.0,-60.4905395508,-1.466678549800001,-25.8,-24.3333214502
46,2017-02-10T15:31:02.490773,974000000.0,-46.3312683105,0.30126755149999696,-26.8,-27.101267551499998
47,2017-02-10T15:31:04.004860,1025000000.0,-47.173835754399995,-0.19511465040000076,-32.8,-32.604885349599996
48,2017-02-10T15:31:05.519947,1076000000.0,-48.7648582458,-1.595560387799999,-26.0,-24.4044396122
49,2017-02-10T15:31:07.010032,1127000000.0,-48.455329895,-1.2005178319999956,-27.0,-25.799482168000004
50,2017-02-10T15:31:08.538119,1178000000.0,-49.4991607666,-1.9486149975999965,-33.1,-31.151385002400005
51,2017-02-10T15:31:10.053206,1229000000.0,-49.4035148621,-1.4163093421,-26.0,-24.5836906579
52,2017-02-10T15:31:11.575293,1280000000.0,-50.025032043500005,-2.0232728985000037,-26.7,-24.676727101499996
53,2017-02-10T15:31:13.068378,1331000000.0,-49.9363708496,-1.6517340086000019,-32.7,-31.0482659914
54,2017-02-10T15:31:14.596466,1382000000.0,-49.9087371826,-1.496169481599999,-25.6,-24.103830518400002
55,2017-02-10T15:31:16.112552,1433000000.0,-49.9354019165,-1.5455501054999985,-26.2,-24.6544498945
