timestamp,Frequency (Hz),SFU SNR (dB),FSW POWER(dBm),FSW SNR (dB),FSW OFFSET (Hz),AIM Power,AIM SNR,AIM Offset,AIM Demod Lock,AIM Demod Acq Time
2016-12-16T11:18:33.413503,1670000000,17,-47.938419342,16.9769058228,293.036621094,-43.21448979591838,16.579591836734693,126685.30612244898,True,0.0
2016-12-16T11:18:40.851929,1670000000,18,-47.9529151917,17.9677658081,284.090057373,-43.23840000000002,17.679999999999993,126690.0,True,0.0
2016-12-16T11:18:48.137345,1670000000,19,-47.9517936707,18.9669075012,285.973175049,-43.22,18.6176,126690.0,True,0.0
2016-12-16T11:18:55.413761,1670000000,20,-47.9491348267,19.9311599731,286.242645264,-43.22673469387756,19.772244897959176,126685.30612244898,True,0.0
2016-12-16T11:19:03.152204,1690000000,8,-47.6658821106,9.24477005005,-43287.2265625,-42.773999999999994,7.973600000000001,132716.84,True,0.0
2016-12-16T11:19:10.569628,1690000000,9,-47.6519737244,9.94463348389,-2483.42553711,-42.95000000000002,8.888000000000003,132664.44,True,0.0
2016-12-16T11:19:17.951051,1690000000,10,-47.791809082,10.6335439682,349.686706543,-43.02959999999999,9.913999999999998,132664.44,True,0.0
2016-12-16T11:19:25.302471,1690000000,11,-47.818069458,11.4397516251,311.451171875,-43.08693877551017,11.011224489795925,132669.0,True,0.0
2016-12-16T11:19:32.740896,1690000000,12,-47.9200363159,12.2451314926,327.245391846,-43.15800000000002,12.001200000000008,132669.0,True,0.0
2016-12-16T11:19:40.117318,1690000000,13,-47.975894928,13.1102275848,314.395874023,-43.14183673469392,12.848571428571429,132664.3469387755,True,0.0
2016-12-16T11:19:47.553601,1690000000,14,-47.9954719543,14.0258255005,279.601837158,-43.185200000000016,14.020000000000008,132712.28,True,0.0
2016-12-16T11:19:54.921022,1690000000,15,-48.026638031,14.9885635376,300.825592041,-43.1791836734694,14.757346938775502,132669.0,True,0.0
2016-12-16T11:20:02.421451,1690000000,16,-48.0643005371,15.9414386749,290.24786377,-43.22755102040817,15.660612244897965,132664.3469387755,True,0.0
2016-12-16T11:20:09.772872,1690000000,17,-48.1029129028,16.9666366577,305.496917725,-43.24080000000001,16.682799999999993,132669.0,True,0.0
2016-12-16T11:20:17.054288,1690000000,18,-48.0832977295,17.8399524689,293.124572754,-43.22800000000001,17.412399999999995,132664.44,True,0.0
2016-12-16T11:20:24.487713,1690000000,19,-48.1123046875,18.8366184235,296.598083496,-43.25918367346939,19.05285714285714,132669.0,True,0.0
2016-12-16T11:20:31.972141,1690000000,20,-48.112285614,19.7581043243,288.256530762,-43.2708,19.875200000000007,132712.28,True,0.0
2016-12-16T11:20:40.024548,1710000000,8,-47.6873931885,9.24013328552,-136840.71875,-42.535918367346916,7.85714285714286,130277.0,True,0.0
2016-12-16T11:20:47.455610,1710000000,9,-47.8430557251,9.9124917984,33371.1679688,-42.682000000000045,8.935199999999998,130272.44,True,0.0
2016-12-16T11:20:54.876672,1710000000,10,-47.927520752,10.6310195923,272.999359131,-42.7512,9.845199999999995,130277.0,True,0.0
2016-12-16T11:21:02.342793,1710000000,11,-47.9312591553,11.4446344376,330.049255371,-42.875999999999976,10.938399999999996,130272.44,True,0.0
2016-12-16T11:21:09.677825,1710000000,12,-47.9849815369,12.2497425079,287.647338867,-42.90360000000004,11.980000000000004,130277.0,True,0.0
2016-12-16T11:21:17.067901,1710000000,13,-48.0521659851,13.1323003769,321.884338379,-42.93400000000001,12.861999999999993,130277.0,True,0.0
2016-12-16T11:21:24.511912,1710000000,14,-48.0522651672,14.0640850067,305.339935303,-42.911428571428594,13.766530612244901,130277.0,True,0.0
2016-12-16T11:21:31.805923,1710000000,15,-48.0930290222,15.0351257324,293.002044678,-42.929795918367375,14.671836734693883,130277.0,True,0.0
2016-12-16T11:21:39.102954,1710000000,16,-48.1496582031,16.0480155945,298.246154785,-42.97816326530614,15.61530612244898,130272.3469387755,True,0.0
2016-12-16T11:21:46.576988,1710000000,17,-48.1508750916,17.0223789215,296.065643311,-42.9952,16.5372,130272.44,True,0.0
2016-12-16T11:21:53.961019,1710000000,18,-48.1739616394,17.9981060028,295.024475098,-42.99679999999999,17.905600000000007,130272.44,True,0.0
2016-12-16T11:22:01.362164,1710000000,19,-48.1953430176,18.9762630463,295.751647949,-43.02039999999999,18.675200000000007,130272.44,True,0.0
2016-12-16T11:22:08.707857,1710000000,20,-48.171081543,19.9823303223,298.333465576,-43.004081632653055,19.55775510204081,130272.3469387755,True,0.0
2016-12-16T11:22:16.406931,1730000000,8,-47.6438522339,9.23583221436,-82656.6953125,-42.37877551020411,7.996938775510212,127728.3469387755,True,0.0
2016-12-16T11:22:23.976973,1730000000,9,-47.6430892944,9.89315414429,-8524.30078125,-42.50240000000001,8.8672,127733.0,True,0.0
2016-12-16T11:22:31.291006,1730000000,10,-47.735004425,10.5979118347,300.150543213,-42.581836734693844,9.89632653061225,127733.0,True,0.0
2016-12-16T11:22:38.675117,1730000000,11,-47.8038864136,11.3279523849,303.729705811,-42.63560000000001,10.940400000000002,127728.44,True,0.0
2016-12-16T11:22:45.960127,1730000000,12,-47.8650970459,12.1577882767,313.040740967,-42.69000000000002,12.0108,127728.44,True,0.0
2016-12-16T11:22:53.280137,1730000000,13,-47.9162330627,12.9794502258,265.282684326,-42.72142857142859,12.886122448979588,127733.0,True,0.0
2016-12-16T11:23:00.775149,1730000000,14,-47.9590034485,13.8728256226,278.350860596,-42.69760000000002,13.772800000000002,127728.44,True,0.0
2016-12-16T11:23:08.097160,1730000000,15,-47.9746704102,14.7950639725,299.934020996,-42.733265306122455,14.71061224489796,127728.3469387755,True,0.0
2016-12-16T11:23:15.411170,1730000000,16,-48.0219535828,15.7374105453,295.30279541,-42.762857142857136,16.045510204081637,127728.3469387755,True,0.0
2016-12-16T11:23:22.761180,1730000000,17,-48.0496940613,16.6482620239,297.832733154,-42.79359999999998,16.763199999999998,127733.0,True,0.0
2016-12-16T11:23:30.166192,1730000000,18,-48.0587501526,17.5458831787,297.5362854,-42.81439999999998,17.719600000000014,127733.0,True,0.0
2016-12-16T11:23:37.485204,1730000000,19,-48.0779075623,18.4142665863,308.236602783,-42.81079999999997,18.5784,127728.44,True,0.0
2016-12-16T11:23:44.852215,1730000000,20,-48.0530052185,19.2264518738,303.955810547,-42.795999999999985,19.730799999999995,127733.0,True,0.0
2016-12-16T11:23:52.662226,1750000000,8,-47.778968811,9.26138210297,-77526.953125,-42.39199999999995,7.854,124145.0,True,0.0
2016-12-16T11:24:00.157237,1750000000,9,-47.7647247314,9.92820930481,9950.07324219,-42.54799999999998,8.89,124140.44,True,0.0
2016-12-16T11:24:07.562248,1750000000,10,-47.8785705566,10.644443512,304.962768555,-42.62399999999996,9.924400000000002,124145.0,True,0.0
2016-12-16T11:24:15.053259,1750000000,11,-47.9546432495,11.3960323334,285.230712891,-42.67800000000002,10.838800000000006,124140.44,True,0.0
2016-12-16T11:24:22.603270,1750000000,12,-48.0263290405,12.1915073395,297.397918701,-42.74510204081635,11.822040816326536,124140.3469387755,True,0.0
2016-12-16T11:24:29.955281,1750000000,13,-48.0853462219,13.1116313934,303.26184082,-42.796399999999984,12.770799999999998,124140.44,True,0.0
2016-12-16T11:24:37.368291,1750000000,14,-48.1335868835,14.0299377441,322.028625488,-42.85239999999998,14.003600000000004,124140.44,True,0.0
2016-12-16T11:24:44.884303,1750000000,15,-48.1573066711,14.9842948914,278.765899658,-42.804081632653045,14.879591836734697,124140.3469387755,True,0.0
2016-12-16T11:24:52.384313,1750000000,16,-48.1896591187,15.916852951,305.531005859,-42.82039999999999,15.812000000000003,124145.0,True,0.0
