timestamp,Frequency (Hz),SFU SNR (dB),FSW POWER(dBm),FSW SNR (dB),FSW OFFSET (Hz)
2016-12-16T09:58:04.086576,450000000,17,-45.990650177,16.791097641,69.2552490234
2016-12-16T09:58:11.501000,450000000,18,-45.9867210388,17.7051334381,71.0864562988
2016-12-16T09:58:18.815419,450000000,19,-45.9642715454,18.609544754,81.89503479
2016-12-16T09:58:26.241843,450000000,20,-46.0022926331,19.5610923767,70.6125106812
2016-12-16T09:58:34.070291,470000000,8,-45.7913017273,9.21326828003,-13044.3740234
2016-12-16T09:58:41.555719,470000000,9,-45.7735481262,9.91268634796,-1034.4440918
2016-12-16T09:58:48.941142,470000000,10,-45.8728752136,10.6013355255,98.6100616455
2016-12-16T09:58:56.354566,470000000,11,-45.9544487,11.3520927429,100.484657288
2016-12-16T09:59:03.972001,470000000,12,-45.9723892212,12.1727294922,88.2578048706
2016-12-16T09:59:11.374425,470000000,13,-46.0438232422,13.0161724091,59.2052116394
2016-12-16T09:59:18.771848,470000000,14,-46.0572814941,13.9161911011,71.4022216797
2016-12-16T09:59:26.318280,470000000,15,-46.1038742065,14.8381671906,71.2493133545
2016-12-16T09:59:33.657699,470000000,16,-46.1003379822,15.7670116425,81.2377319336
2016-12-16T09:59:41.060123,470000000,17,-46.1282157898,16.7190589905,92.5234451294
2016-12-16T09:59:48.523550,470000000,18,-46.1548576355,17.5829544067,86.4708480835
2016-12-16T09:59:55.849969,470000000,19,-46.1685905457,18.4906749725,92.9170303345
2016-12-16T10:00:03.206389,470000000,20,-46.2035980225,19.3046627045,80.6357574463
2016-12-16T10:00:10.923831,490000000,8,-45.710319519,9.23225688934,-263572.65625
2016-12-16T10:00:18.490264,490000000,9,-45.722442627,9.9273147583,7721.96240234
2016-12-16T10:00:25.846684,490000000,10,-45.8069534302,10.6590614319,90.8559036255
2016-12-16T10:00:33.393116,490000000,11,-45.8444671631,11.4242630005,99.566444397
2016-12-16T10:00:40.825541,490000000,12,-45.9096450806,12.2467727661,70.4677658081
2016-12-16T10:00:48.212964,490000000,13,-45.9834747314,13.1152524948,56.3378639221
2016-12-16T10:00:55.479379,490000000,14,-46.025642395,14.0406808853,56.6142616272
2016-12-16T10:01:02.851801,490000000,15,-46.016658783,15.0023670197,65.1273803711
2016-12-16T10:01:10.278226,490000000,16,-46.0761756897,15.9636316299,84.2167129517
2016-12-16T10:01:17.614645,490000000,17,-46.1007499695,16.9371433258,87.1600341797
2016-12-16T10:01:25.051071,490000000,18,-46.114982605,17.8607158661,86.8147659302
2016-12-16T10:01:32.451494,490000000,19,-46.0854492188,18.8741550446,90.2570953369
2016-12-16T10:01:40.001926,490000000,20,-46.1137619019,19.814239502,84.2987976074
2016-12-16T10:01:47.780371,510000000,8,-45.7452964783,9.26229572296,-80570.6640625
2016-12-16T10:01:55.195795,510000000,9,-45.8139610291,9.9218711853,-4882.21289062
2016-12-16T10:02:02.601218,510000000,10,-45.9822425842,10.6412229538,70.4260025024
2016-12-16T10:02:09.954639,510000000,11,-46.0768165588,11.3585672379,125.560913086
2016-12-16T10:02:17.517072,510000000,12,-45.9825248718,12.2625160217,82.6674041748
2016-12-16T10:02:24.884493,510000000,13,-46.027130127,13.1704883575,68.5717315674
2016-12-16T10:02:32.359921,510000000,14,-46.0957260132,14.0911273956,86.0487060547
2016-12-16T10:02:39.760344,510000000,15,-46.1477775574,15.0599050522,69.2138595581
2016-12-16T10:02:47.187769,510000000,16,-46.1209106445,16.0513954163,84.9565048218
2016-12-16T10:02:54.620194,510000000,17,-46.1550636292,17.0142631531,80.6145706177
2016-12-16T10:03:02.016617,510000000,18,-46.2364501953,18.0198059082,87.0709152222
2016-12-16T10:03:09.419040,510000000,19,-46.2051315308,19.0071258545,91.8954696655
2016-12-16T10:03:16.763460,510000000,20,-46.2248306274,20.0064582825,91.82081604
2016-12-16T10:03:24.504903,530000000,8,-45.7928543091,9.23056697845,-12670.7890625
2016-12-16T10:03:32.021333,530000000,9,-45.8904914856,9.93943786621,33944.8164062
2016-12-16T10:03:39.360753,530000000,10,-45.95885849,10.6304941177,86.3027877808
2016-12-16T10:03:46.864182,530000000,11,-45.9721565247,11.4546756744,86.7116851807
2016-12-16T10:03:54.336609,530000000,12,-46.058391571,12.2209033966,95.3444290161
2016-12-16T10:04:01.709031,530000000,13,-46.0962257385,13.1547470093,108.615989685
2016-12-16T10:04:09.138456,530000000,14,-46.1494293213,14.066576004,83.3305206299
2016-12-16T10:04:16.476876,530000000,15,-46.1292076111,15.1075220108,102.712104797
2016-12-16T10:04:23.838297,530000000,16,-46.1900520325,16.0124130249,85.6456451416
2016-12-16T10:04:31.238720,530000000,17,-46.2263031006,16.9806118011,101.122039795
2016-12-16T10:04:38.611142,530000000,18,-46.214553833,18.0090770721,87.2958831787
2016-12-16T10:04:46.064568,530000000,19,-46.2073478699,18.9950256348,90.119468689
2016-12-16T10:04:53.566997,530000000,20,-46.2380867004,19.9528331757,92.3445281982
