timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm)
2016-12-19T17:12:52.279527,1970000000,-20,-38.2464141846
2016-12-19T17:12:59.677950,1990000000,-65,-82.7883453369
2016-12-19T17:13:06.944366,1990000000,-40,-58.4414596558
2016-12-19T17:13:14.396792,1990000000,-20,-38.2211227417
2016-12-19T17:13:21.763214,2010000000,-65,-82.913482666
2016-12-19T17:13:29.036630,2010000000,-40,-58.4943313599
2016-12-19T17:13:36.466055,2010000000,-20,-38.3080825806
2016-12-19T17:13:43.881479,2030000000,-65,-82.9827957153
2016-12-19T17:13:51.137894,2030000000,-40,-58.6792411804
2016-12-19T17:13:58.568319,2030000000,-20,-38.4426345825
2016-12-19T17:14:05.968742,2050000000,-65,-82.9233932495
2016-12-19T17:14:13.241158,2050000000,-40,-58.5170326233
2016-12-19T17:14:20.683584,2050000000,-20,-38.3133773804
2016-12-19T17:14:28.084007,2070000000,-65,-82.8698806763
2016-12-19T17:14:35.341422,2070000000,-40,-58.5606002808
2016-12-19T17:14:43.030862,2070000000,-20,-38.388004303
2016-12-19T17:14:50.419284,2090000000,-65,-83.041229248
2016-12-19T17:14:57.653698,2090000000,-40,-58.7242851257
2016-12-19T17:15:05.088123,2090000000,-20,-38.5279922485
2016-12-19T17:15:12.470546,2110000000,-65,-82.9850387573
2016-12-19T17:15:19.745962,2110000000,-40,-58.6488723755
2016-12-19T17:15:27.171387,2110000000,-20,-38.468170166
2016-12-19T17:15:34.558809,2130000000,-65,-83.1167755127
2016-12-19T17:15:41.822224,2130000000,-40,-58.7389717102
2016-12-19T17:15:49.257650,2130000000,-20,-38.6083183289
