timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm)
2016-12-14T18:47:28.253619,1730000000,-65,-78.6715545654
2016-12-14T18:47:34.873998,1730000000,-40,-54.0205535889
2016-12-14T18:47:41.701388,1730000000,-20,-33.9047431946
2016-12-14T18:47:48.480776,1750000000,-65,-78.7976531982
2016-12-14T18:47:55.115155,1750000000,-40,-54.0568389893
2016-12-14T18:48:02.022550,1750000000,-20,-34.0274581909
2016-12-14T18:48:08.882943,1770000000,-65,-78.728225708
2016-12-14T18:48:15.533323,1770000000,-40,-53.9876403809
2016-12-14T18:48:22.377715,1770000000,-20,-33.8678207397
2016-12-14T18:48:29.156102,1790000000,-65,-78.7901306152
2016-12-14T18:48:35.823484,1790000000,-40,-54.0673904419
2016-12-14T18:48:42.635873,1790000000,-20,-33.8674964905
2016-12-14T18:48:49.415261,1810000000,-65,-78.8821487427
2016-12-14T18:48:56.051641,1810000000,-40,-54.0540847778
2016-12-14T18:49:02.895032,1810000000,-20,-33.8860092163
2016-12-14T18:49:09.681420,1830000000,-65,-78.7475509644
2016-12-14T18:49:16.331801,1830000000,-40,-53.9619522095
2016-12-14T18:49:23.143190,1830000000,-20,-33.7517127991
2016-12-14T18:49:29.923578,1850000000,-65,-78.6823959351
2016-12-14T18:49:36.558958,1850000000,-40,-53.9495544434
2016-12-14T18:49:43.385348,1850000000,-20,-33.7571296692
2016-12-14T18:49:50.164736,1870000000,-65,-78.9669570923
2016-12-14T18:49:56.816116,1870000000,-40,-54.2257728577
2016-12-14T18:50:03.644507,1870000000,-20,-34.0170059204
2016-12-14T18:50:10.439895,1890000000,-65,-79.0706176758
2016-12-14T18:50:17.085276,1890000000,-40,-54.4066810608
2016-12-14T18:50:23.895665,1890000000,-20,-34.2257003784
2016-12-14T18:50:30.691054,1910000000,-65,-78.8629455566
2016-12-14T18:50:37.343434,1910000000,-40,-54.2231025696
2016-12-14T18:50:44.170825,1910000000,-20,-34.0498771667
